abandon	-1.4	0.48990	[-1, -1, -2, -1, -1, -1, -1, -2, -2, -2]
abandoned	-0.3	0.45826	[0, 0, -1, 0, 0, 0, -1, 0, 0, -1]
abandoning	-1.4	0.66332	[-2, -1, -2, -2, -2, -1, -1, -2, -1, 0]
abandonment	-1.9	0.53852	[-2, -3, -2, -2, -1, -2, -1, -2, -2, -2]
abandonments	-2.4	0.48990	[-3, -3, -2, -2, -2, -2, -3, -2, -2, -3]
abandons	-2.0	0.77460	[-1, -1, -2, -2, -3, -2, -3, -2, -1, -3]
abdicated	-0.7	0.45826	[-1, 0, 0, -1, -1, -1, -1, -1, -1, 0]
abdicates	-0.7	0.64031	[0, -1, -1, 0, -1, -1, 0, 0, -1, -2]
abdicating	-1.6	0.48990	[-2, -1, -1, -1, -2, -2, -2, -1, -2, -2]
abdication	-1.4	0.66332	[-2, -2, -2, -1, -2, -1, 0, -1, -1, -2]
abdications	-0.4	0.48990	[0, 0, 0, -1, 0, -1, 0, -1, -1, 0]
aberrant	-1.6	0.66332	[-1, -3, -1, -1, -2, -2, -1, -2, -2, -1]
aberration	-1.9	0.53852	[-2, -1, -2, -2, -3, -2, -1, -2, -2, -2]
aberrational	-1.4	0.48990	[-1, -1, -2, -1, -1, -2, -1, -2, -1, -2]
aberrations	-1.8	0.60000	[-1, -1, -2, -2, -3, -2, -2, -1, -2, -2]
abetting	-0.9	0.30000	[-1, -1, -1, 0, -1, -1, -1, -1, -1, -1]
able	1.1	0.30000	[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]
abnormal	-1.9	0.30000	[-2, -2, -2, -1, -2, -2, -2, -2, -2, -2]
abnormalities	-1.3	0.64031	[-2, -1, -1, -2, -1, 0, -1, -2, -1, -2]
abnormality	-1.4	0.48990	[-1, -1, -1, -1, -1, -2, -2, -1, -2, -2]
abnormally	-0.5	0.50000	[-1, -1, 0, -1, -1, 0, 0, 0, 0, -1]
abolish	-1.4	0.48990	[-1, -1, -1, -2, -1, -1, -1, -2, -2, -2]
abolished	-1.7	0.64031	[-2, -1, -2, -2, -2, -1, -1, -3, -1, -2]
abolishes	-1.7	0.78102	[-2, 0, -2, -2, -2, -2, -1, -1, -2, -3]
abolishing	-1.6	0.48990	[-2, -1, -2, -2, -2, -2, -1, -1, -1, -2]
abrogate	-1.2	0.60000	[-1, -1, 0, -1, -2, -1, -1, -2, -2, -1]
abrogated	-1.4	0.48990	[-2, -1, -1, -2, -2, -2, -1, -1, -1, -1]
abrogates	-1.9	0.53852	[-1, -1, -2, -2, -2, -2, -3, -2, -2, -2]
abrogating	-1.7	0.45826	[-2, -1, -2, -2, -2, -2, -2, -1, -2, -1]
abrogation	-1.5	0.67082	[-2, -1, -2, -1, -2, -1, -1, -1, -3, -1]
abrogations	-1.5	0.50000	[-2, -2, -2, -1, -1, -2, -1, -1, -1, -2]
abrupt	-2.0	0.44721	[-2, -2, -2, -2, -3, -2, -2, -1, -2, -2]
abruptly	-2.4	0.66332	[-2, -2, -3, -3, -1, -2, -3, -3, -3, -2]
abruptness	-2.1	0.53852	[-3, -2, -2, -1, -3, -2, -2, -2, -2, -2]
absence	-1.2	0.40000	[-2, -1, -1, -2, -1, -1, -1, -1, -1, -1]
absences	-2.0	0.63246	[-3, -2, -1, -2, -2, -2, -2, -1, -2, -3]
absenteeism	-1.6	0.48990	[-2, -2, -1, -1, -2, -2, -1, -2, -2, -1]
abundance	0.8	0.60000	[2, 1, 0, 1, 1, 1, 1, 0, 1, 0]
abundant	1.4	0.66332	[2, 2, 1, 0, 1, 1, 2, 2, 2, 1]
abuse	-2.8	0.60000	[-2, -3, -3, -2, -2, -3, -3, -4, -3, -3]
abused	-0.4	0.48990	[0, -1, 0, 0, -1, 0, -1, -1, 0, 0]
abuses	-0.7	0.45826	[-1, -1, -1, 0, -1, 0, -1, 0, -1, -1]
abusing	-2.2	0.74833	[-2, -2, -2, -2, -3, -3, -3, -3, -1, -1]
abusive	-2.6	0.48990	[-2, -3, -2, -2, -3, -2, -3, -3, -3, -3]
abusively	-1.1	0.30000	[-1, -1, -1, -1, -1, -1, -1, -2, -1, -1]
abusiveness	-1.1	0.53852	[-1, -1, -2, -1, -1, -1, -2, 0, -1, -1]
accident	-2.0	0.63246	[-2, -2, -1, -3, -2, -2, -2, -3, -1, -2]
accidental	-1.7	0.78102	[-1, -1, -1, -2, -2, -2, -3, -3, -1, -1]
accidentally	-1.6	0.48990	[-1, -1, -1, -2, -2, -2, -1, -2, -2, -2]
accidents	-1.7	0.64031	[-3, -2, -2, -1, -1, -1, -2, -1, -2, -2]
acclaimed	2.0	0.00000	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
accomplish	1.4	0.48990	[2, 2, 1, 2, 1, 1, 1, 1, 1, 2]
accomplished	1.6	0.66332	[1, 2, 1, 2, 3, 1, 2, 1, 2, 1]
accomplishes	2.1	0.53852	[2, 2, 2, 2, 2, 3, 3, 2, 2, 1]
accomplishing	1.4	0.66332	[1, 2, 2, 2, 1, 2, 1, 0, 2, 1]
accomplishment	1.9	0.53852	[2, 2, 1, 2, 2, 2, 2, 1, 2, 3]
accomplishments	1.3	0.45826	[1, 1, 2, 2, 1, 1, 2, 1, 1, 1]
accusation	-2.3	0.64031	[-3, -2, -2, -2, -3, -3, -2, -2, -3, -1]
accusations	-3.0	0.63246	[-3, -3, -2, -3, -3, -4, -2, -4, -3, -3]
accuse	-2.5	0.50000	[-2, -3, -2, -2, -3, -3, -2, -2, -3, -3]
accused	-1.1	0.53852	[-2, -1, -1, -1, -1, -1, 0, -2, -1, -1]
accuses	-1.8	0.40000	[-2, -2, -2, -2, -1, -2, -2, -1, -2, -2]
accusing	-2.9	0.53852	[-3, -3, -2, -3, -3, -3, -4, -3, -2, -3]
achieve	2.2	0.60000	[3, 3, 2, 1, 2, 2, 2, 2, 2, 3]
achieved	1.2	0.40000	[1, 2, 1, 1, 1, 2, 1, 1, 1, 1]
achievement	2.1	0.53852	[3, 2, 2, 2, 2, 1, 2, 2, 2, 3]
achievements	0.7	0.45826	[1, 1, 0, 1, 0, 1, 1, 1, 0, 1]
achieves	1.1	0.70000	[1, 1, 2, 0, 2, 1, 1, 1, 0, 2]
achieving	1.8	0.60000	[1, 2, 3, 2, 2, 2, 2, 2, 1, 1]
acquiesce	-1.2	0.40000	[-1, -1, -2, -1, -1, -2, -1, -1, -1, -1]
acquiesced	-1.5	0.67082	[-2, -1, -2, -1, -1, -1, -3, -1, -2, -1]
acquiesces	-1.2	0.60000	[-2, -1, -1, -2, -1, -1, -1, -1, -2, 0]
acquiescing	-1.4	0.48990	[-1, -2, -1, -1, -1, -2, -2, -1, -1, -2]
acquit	1.3	0.45826	[1, 1, 1, 1, 1, 2, 2, 2, 1, 1]
acquits	-1.0	0.63246	[0, -1, -1, -1, 0, -1, -1, -2, -1, -2]
acquittal	-1.8	0.60000	[-2, -2, -1, -2, -1, -2, -2, -2, -1, -3]
acquittals	-1.5	0.67082	[-1, -1, -2, -1, -1, -2, -2, -1, -3, -1]
acquitted	-2.3	0.45826	[-2, -2, -2, -2, -3, -2, -3, -2, -2, -3]
acquitting	-1.7	0.64031	[-1, -1, -1, -3, -2, -2, -1, -2, -2, -2]
adequately	1.1	0.53852	[2, 1, 1, 0, 2, 1, 1, 1, 1, 1]
adulterate	-1.8	0.40000	[-2, -2, -2, -2, -2, -2, -2, -1, -1, -2]
adulterated	-2.6	0.48990	[-3, -3, -2, -3, -2, -3, -2, -3, -3, -2]
adulterating	-2.1	0.30000	[-3, -2, -2, -2, -2, -2, -2, -2, -2, -2]
adulteration	-2.6	0.66332	[-3, -2, -2, -4, -2, -3, -3, -3, -2, -2]
adulterations	-1.6	0.48990	[-1, -1, -2, -1, -2, -2, -2, -2, -2, -1]
advancement	1.6	0.48990	[1, 2, 1, 2, 2, 1, 2, 1, 2, 2]
advancements	1.6	0.48990	[2, 1, 2, 2, 1, 2, 2, 1, 1, 2]
advances	1.3	0.64031	[1, 0, 1, 1, 2, 1, 2, 2, 2, 1]
advancing	1.2	0.40000	[2, 1, 1, 1, 1, 1, 1, 2, 1, 1]
advantage	1.1	0.53852	[1, 1, 1, 2, 1, 1, 1, 0, 2, 1]
advantaged	1.5	0.50000	[2, 1, 2, 1, 1, 1, 2, 2, 2, 1]
advantageous	2.2	0.40000	[2, 2, 2, 3, 2, 2, 2, 2, 3, 2]
advantageously	1.4	0.80000	[2, 3, 1, 1, 1, 2, 0, 1, 2, 1]
advantages	2.0	0.63246	[3, 3, 2, 2, 1, 2, 2, 2, 1, 2]
