word,mean,frequence,std,scores
will,3.7,80126,0.458257569,"[4, 4, 3, 4, 4, 4, 3, 4, 4, 3]"
just,2.6,45463,0.489897949,"[3, 2, 3, 3, 2, 3, 2, 2, 3, 3]"
so,-0.4,40183,0.663324958,"[-1, 0, -1, -1, -1, 0, 0, -1, 0, 1]"
right,2.3,33716,0.640312424,"[2, 3, 2, 2, 2, 3, 3, 1, 3, 2]"
moon,2.3,23330,0.640312424,"[3, 1, 2, 2, 3, 2, 3, 3, 2, 2]"
too,-1.5,22323,0.5,"[-2, -2, -2, -1, -1, -2, -1, -1, -1, -2]"
know,0.1,21658,0.538516481,"[0, -1, 0, 0, 1, 0, 1, 0, 0, 0]"
think,0,20178,0.447213595,"[0, 0, 0, 0, -1, 0, 0, 1, 0, 0]"
especially,2.1,19385,0.538516481,"[2, 2, 2, 3, 2, 2, 2, 1, 3, 2]"
stake,-1.6,17860,0.663324958,"[-1, -3, -1, -1, -2, -2, -1, -2, -2, -1]"
thumbs,-1.4,17782,0.489897949,"[-1, -1, -2, -1, -1, -1, -1, -2, -2, -2]"
need,0.2,17696,0.6,"[1, 1, 0, 0, -1, 0, 0, 1, 0, 0]"
would,0.3,16390,0.458257569,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]"
floor,-0.1,16331,0.538516481,"[0, 0, -1, 0, 0, 0, -1, 1, 0, 0]"
down,-1.1,16055,0.3,"[-1, -1, -1, -1, -1, -1, -1, -2, -1, -1]"
still,0.2,14574,0.4,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
much,0.1,14074,0.3,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
trying,-1.8,13435,0.4,"[-2, -2, -2, -1, -2, -2, -2, -2, -1, -2]"
should,-1.4,12853,0.489897949,"[-2, -2, -1, -1, -1, -1, -2, -1, -1, -2]"
cross,-2.7,12633,0.458257569,"[-3, -2, -3, -3, -3, -3, -3, -2, -3, -2]"
back,1.6,11966,0.489897949,"[2, 2, 2, 2, 2, 1, 1, 2, 1, 1]"
direct,-0.5,11212,0.5,"[0, -1, 0, -1, -1, -1, 0, 0, 0, -1]"
even,1.4,11033,0.489897949,"[2, 2, 1, 2, 1, 1, 1, 1, 1, 2]"
light,1.8,10726,0.6,"[2, 2, 3, 2, 1, 2, 2, 1, 1, 2]"
long,3,10602,0.774596669,"[2, 2, 3, 3, 4, 3, 4, 3, 2, 4]"
most,-0.3,10465,0.640312424,"[0, -1, 0, 0, 0, -1, -1, -1, 0, 1]"
very,-1.2,10408,0.6,"[0, -1, -2, -1, -1, -1, -1, -2, -1, -2]"
beware,-1.8,10228,0.4,"[-1, -2, -2, -2, -2, -2, -2, -1, -2, -2]"
consider,0.4,9934,0.8,"[1, 2, 0, 0, 0, 1, -1, 0, 1, 0]"
big,0.1,9466,0.538516481,"[0, 1, 0, 0, -1, 0, 1, 0, 0, 0]"
white,1.5,8772,0.670820393,"[1, 2, 1, 2, 1, 2, 2, 2, 0, 2]"
really,-0.1,8715,0.538516481,"[0, 0, 0, -1, 0, 0, 1, -1, 0, 0]"
